39, 13, Never-married, Adm-clerical, Not-in-family, White, 0, 40, United-States, <=50K
17,6, Never-married, Other-service, Own-child, White,0,24, United-States, <=50K
63,13, Married-civ-spouse, Farming-fishing, Husband, White,0,40, United-States, >50K
28,13, Married-civ-spouse, Handlers-cleaners, Husband, White,0,65, United-States, >50K
51,13, Married-civ-spouse, Prof-specialty, Husband, White,0,50, United-States, >50K
29,13, Never-married, Sales, Not-in-family, White,0,45, United-States, <=50K
64,10, Widowed, Adm-clerical, Unmarried, White,0,12, United-States, <=50K
17,6, Never-married, Other-service, Own-child, White,0,25, United-States, <=50K
45,10, Divorced, Adm-clerical, Unmarried, Black,0,35, United-States, <=50K
18,8, Never-married, Other-service, Own-child, Black,0,20, United-States, <=50K
31,9, Never-married, Adm-clerical, Own-child, White,0,40, United-States, <=50K
48,13, Married-spouse-absent, Sales, Own-child, White,0,50, United-States, >50K
41,10, Never-married, Prof-specialty, Not-in-family, White,0,45, United-States, <=50K
65,15, Married-civ-spouse, Prof-specialty, Husband, White,0,60, United-States, >50K
27,11, Divorced, Machine-op-inspct, Not-in-family, White,0,40, United-States, <=50K
39,11, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, <=50K
51,10, Divorced, Craft-repair, Not-in-family, White,0,8, Puerto-Rico, >50K
49,14, Married-civ-spouse, Exec-managerial, Husband, White,0,45, United-States, >50K
58,9, Divorced, ?, Unmarried, White,0,40, United-States, <=50K
36,13, Married-civ-spouse, Sales, Husband, White,1902,45, United-States, >50K
25,9, Never-married, Machine-op-inspct, Not-in-family, Black,0,40, United-States, <=50K
41,10, Divorced, Adm-clerical, Unmarried, Black,0,37, United-States, <=50K
31,5, Divorced, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
63,7, Married-civ-spouse, Protective-serv, Husband, White,0,37, United-States, >50K
50,13, Divorced, Exec-managerial, Not-in-family, White,0,40, United-States, <=50K
63,10, Divorced, Other-service, Not-in-family, White,0,40, United-States, <=50K
44,14, Never-married, Farming-fishing, Own-child, White,0,99, United-States, <=50K
48,9, Divorced, Transport-moving, Not-in-family, White,0,65, United-States, <=50K
51,10, Married-civ-spouse, Sales, Husband, White,0,50, United-States, <=50K
18,9, Never-married, Adm-clerical, Own-child, White,0,15, United-States, <=50K
23,10, Never-married, Other-service, Own-child, White,0,25, United-States, <=50K
31,9, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, <=50K
38,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
19,10, Never-married, ?, Own-child, White,0,20, England, <=50K
56,10, Married-civ-spouse, Farming-fishing, Husband, White,0,60, United-States, >50K
31,4, Divorced, Transport-moving, Unmarried, White,0,20, United-States, <=50K
46,10, Married-civ-spouse, Adm-clerical, Husband, White,0,40, United-States, <=50K
39,14, Married-civ-spouse, Exec-managerial, Husband, White,0,50, United-States, >50K
56,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander,0,40, China, <=50K
31,9, Never-married, Exec-managerial, Unmarried, White,0,40, United-States, <=50K
42,13, Married-civ-spouse, Prof-specialty, Husband, White,1977,40, United-States, >50K
53,9, Married-civ-spouse, Exec-managerial, Husband, White,0,35, United-States, >50K
18,7, Never-married, Other-service, Own-child, White,0,15, United-States, <=50K
18,7, Never-married, ?, Own-child, Black,1602,48, United-States, <=50K
20,10, Never-married, ?, Not-in-family, White,0,35, United-States, <=50K
27,9, Married-civ-spouse, Prof-specialty, Husband, White,1848,45, United-States, >50K
31,13, Never-married, Farming-fishing, Not-in-family, White,0,40, United-States, <=50K
52,14, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, <=50K
46,9, Married-civ-spouse, Other-service, Husband, White,0,40, United-States, <=50K
30,10, Never-married, Other-service, Not-in-family, White,0,24, United-States, <=50K
26,13, Never-married, Other-service, Not-in-family, White,0,40, United-States, <=50K
48,14, Married-civ-spouse, Prof-specialty, Husband, White,0,50, United-States, >50K
37,10, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, >50K
29,5, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
49,9, Married-civ-spouse, Exec-managerial, Husband, White,0,55, United-States, >50K
24,9, Divorced, Machine-op-inspct, Not-in-family, White,0,40, United-States, <=50K
74,9, Married-civ-spouse, Sales, Husband, White,2149,20, United-States, <=50K
56,3, Married-civ-spouse, Exec-managerial, Husband, White,1887,67, United-States, >50K
39,13, Never-married, Adm-clerical, Not-in-family, White,1741,40, United-States, <=50K
21,9, Never-married, Transport-moving, Own-child, White,0,40, United-States, <=50K
29,13, Never-married, Exec-managerial, Not-in-family, White,2258,45, United-States, >50K
43,9, Divorced, Other-service, Unmarried, White,0,45, United-States, <=50K
23,13, Never-married, Protective-serv, Not-in-family, White,0,40, United-States, <=50K
26,9, Never-married, Exec-managerial, Not-in-family, White,0,50, United-States, <=50K
47,9, Married-civ-spouse, Transport-moving, Husband, White,0,60, United-States, <=50K
27,9, Married-civ-spouse, Machine-op-inspct, Husband, White,0,55, United-States, <=50K
45,9, Married-civ-spouse, Machine-op-inspct, Husband, White,0,45, United-States, >50K
30,9, Never-married, Protective-serv, Own-child, White,0,70, United-States, <=50K
35,10, Married-civ-spouse, Adm-clerical, Wife, White,0,20, United-States, >50K
33,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
37,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, >50K
21,9, Never-married, Farming-fishing, Own-child, White,0,20, United-States, <=50K
42,9, Married-civ-spouse, Sales, Husband, White,0,40, United-States, <=50K
48,9, Married-civ-spouse, Adm-clerical, Husband, White,0,36, United-States, <=50K
46,9, Never-married, Craft-repair, Not-in-family, White,0,48, United-States, <=50K
36,3, Separated, Machine-op-inspct, Not-in-family, White,0,40, United-States, <=50K
54,9, Never-married, Prof-specialty, Not-in-family, White,0,40, United-States, <=50K
25,9, Married-civ-spouse, Adm-clerical, Wife, White,0,40, United-States, <=50K
26,9, Divorced, Adm-clerical, Unmarried, White,0,25, United-States, <=50K
36,9, Married-civ-spouse, Transport-moving, Husband, White,0,57, United-States, <=50K
56,13, Never-married, Prof-specialty, Not-in-family, White,0,20, United-States, <=50K
37,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
26,13, Never-married, Prof-specialty, Not-in-family, White,0,40, United-States, >50K
23,13, Never-married, Other-service, Own-child, White,0,25, United-States, <=50K
23,13, Never-married, Prof-specialty, Not-in-family, White,0,40, United-States, <=50K
41,13, Never-married, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
55,13, Married-civ-spouse, Exec-managerial, Husband, White,0,50, United-States, >50K
39,13, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, >50K
67,12, Married-civ-spouse, Exec-managerial, Husband, White,0,35, United-States, <=50K
60,9, Widowed, Sales, Not-in-family, White,0,50, United-States, <=50K
54,9, Widowed, Sales, Unmarried, White,0,40, United-States, <=50K
38,14, Married-civ-spouse, Prof-specialty, Husband, White,0,40, England, >50K
47,10, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander,0,40, Philippines, >50K
49,13, Married-civ-spouse, Prof-specialty, Husband, White,0,42, United-States, >50K
19,9, Never-married, Sales, Own-child, White,0,24, United-States, <=50K
20,10, Never-married, Craft-repair, Unmarried, White,0,40, United-States, <=50K
66,9, Widowed, Sales, Other-relative, White,0,35, United-States, <=50K
22,10, Never-married, ?, Not-in-family, Black,0,25, United-States, <=50K
51,14, Married-civ-spouse, Exec-managerial, Husband, White,0,42, United-States, >50K
19,10, Never-married, Exec-managerial, Not-in-family, White,0,40, United-States, <=50K
36,10, Divorced, Adm-clerical, Unmarried, White,0,40, United-States, <=50K
33,9, Married-civ-spouse, Transport-moving, Husband, White,0,60, United-States, >50K
41,13, Divorced, Sales, Not-in-family, White,1980,56, United-States, <=50K
90,9, Married-civ-spouse, Craft-repair, Husband, White,0,50, Ecuador, >50K
78,4, Married-civ-spouse, ?, Husband, White,0,60, United-States, <=50K
36,9, Divorced, Exec-managerial, Not-in-family, White,0,40, United-States, <=50K
30,15, Divorced, Sales, Own-child, White,0,55, United-States, <=50K
35,10, Divorced, Exec-managerial, Not-in-family, White,0,40, Mexico, <=50K
46,14, Married-civ-spouse, Exec-managerial, Husband, White,0,45, United-States, >50K
38,9, Never-married, Machine-op-inspct, Other-relative, White,0,40, United-States, <=50K
24,13, Married-civ-spouse, Prof-specialty, Husband, White,0,40, United-States, <=50K
40,13, Married-civ-spouse, Other-service, Wife, White,0,40, Puerto-Rico, <=50K
49,4, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, <=50K
19,9, Never-married, Other-service, Own-child, Black,0,30, United-States, <=50K
77,10, Widowed, Priv-house-serv, Not-in-family, White,0,20, United-States, <=50K
46,9, Married-civ-spouse, Handlers-cleaners, Husband, White,0,56, United-States, >50K
41,10, Separated, Craft-repair, Not-in-family, Black,0,40, United-States, <=50K
28,2, Never-married, Farming-fishing, Unmarried, White,0,77, Mexico, <=50K
21,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
24,8, Never-married, Farming-fishing, Own-child, Black,0,40, United-States, <=50K
36,9, Married-civ-spouse, Transport-moving, Husband, Black,0,45, United-States, <=50K
23,10, Never-married, Adm-clerical, Own-child, White,0,25, United-States, <=50K
38,9, Married-civ-spouse, Transport-moving, Husband, White,2051,40, United-States, <=50K
29,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
38,10, Married-civ-spouse, Exec-managerial, Other-relative, White,0,50, United-States, >50K
47,13, Never-married, Adm-clerical, Unmarried, Black,0,40, United-States, >50K
39,14, Divorced, Prof-specialty, Not-in-family, White,0,40, United-States, <=50K
40,13, Married-civ-spouse, Prof-specialty, Husband, White,0,48, United-States, <=50K
21,10, Never-married, ?, Own-child, White,0,40, United-States, <=50K
32,9, Divorced, Adm-clerical, Own-child, Asian-Pac-Islander,0,40, United-States, <=50K
23,9, Never-married, Exec-managerial, Own-child, White,0,40, United-States, <=50K
44,9, Married-civ-spouse, Protective-serv, Husband, White,0,40, United-States, <=50K
37,10, Separated, Other-service, Not-in-family, Black,0,40, ?, <=50K
70,13, Widowed, Prof-specialty, Unmarried, White,0,20, Puerto-Rico, <=50K
51,14, Married-civ-spouse, Protective-serv, Husband, White,1977,40, United-States, >50K
66,5, Separated, Other-service, Not-in-family, Black,0,30, United-States, <=50K
57,10, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, <=50K
36,10, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, >50K
48,13, Divorced, Sales, Not-in-family, White,0,60, United-States, >50K
24,9, Married-civ-spouse, ?, Husband, White,0,40, United-States, <=50K
51,14, Married-civ-spouse, Prof-specialty, Wife, White,0,40, United-States, >50K
43,13, Married-civ-spouse, Exec-managerial, Husband, White,0,50, United-States, >50K
27,9, Married-civ-spouse, Craft-repair, Husband, White,0,60, United-States, <=50K
32,13, Never-married, Adm-clerical, Own-child, White,0,40, United-States, <=50K
20,10, Never-married, Adm-clerical, Own-child, White,0,35, United-States, <=50K
33,10, Divorced, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
19,10, Never-married, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
32,10, Married-civ-spouse, Craft-repair, Husband, White,0,60, United-States, >50K
35,15, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander,0,40, India, >50K
26,9, Married-civ-spouse, Craft-repair, Husband, White,0,60, United-States, <=50K
39,9, Never-married, Sales, Unmarried, White,0,60, United-States, <=50K
24,13, Never-married, Other-service, Own-child, Black,0,75, United-States, <=50K
45,10, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, >50K
20,10, Never-married, Adm-clerical, Own-child, White,0,40, United-States, <=50K
49,13, Married-civ-spouse, Prof-specialty, Other-relative, White,0,45, United-States, <=50K
35,14, Never-married, Prof-specialty, Not-in-family, White,0,40, United-States, <=50K
30,9, Never-married, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
23,10, Never-married, Adm-clerical, Own-child, White,1617,25, United-States, <=50K
33,13, Married-civ-spouse, Exec-managerial, Husband, White,0,45, United-States, <=50K
35,9, Married-civ-spouse, Transport-moving, Husband, White,0,50, United-States, <=50K
31,14, Married-civ-spouse, Prof-specialty, Husband, White,0,50, United-States, <=50K
20,7, Never-married, Craft-repair, Not-in-family, Black,0,25, United-States, <=50K
44,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
33,9, Married-civ-spouse, Other-service, Husband, Black,0,40, United-States, <=50K
50,10, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, <=50K
25,9, Never-married, Adm-clerical, Unmarried, White,0,40, Mexico, <=50K
28,9, Married-civ-spouse, Protective-serv, Husband, White,0,40, United-States, <=50K
60,13, Married-civ-spouse, Adm-clerical, Husband, Black,0,40, United-States, >50K
38,11, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
38,10, Married-civ-spouse, Craft-repair, Husband, Black,0,40, United-States, <=50K
57,13, Never-married, Adm-clerical, Not-in-family, White,2258,40, United-States, <=50K
50,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, >50K
39,7, Divorced, Adm-clerical, Unmarried, White,0,40, United-States, <=50K
69,9, Married-civ-spouse, Craft-repair, Husband, White,0,6, United-States, <=50K
51,11, Divorced, Tech-support, Not-in-family, White,2444,39, United-States, >50K
42,9, Married-civ-spouse, Handlers-cleaners, Husband, Black,0,40, United-States, <=50K
53,13, Married-civ-spouse, Exec-managerial, Husband, White,0,50, United-States, >50K
37,13, Married-civ-spouse, Handlers-cleaners, Husband, White,0,40, United-States, <=50K
37,6, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
38,9, Married-civ-spouse, Craft-repair, Husband, White,0,50, United-States, >50K
20,10, Never-married, Other-service, Own-child, White,0,24, United-States, <=50K
38,10, Separated, Adm-clerical, Unmarried, Black,0,38, United-States, <=50K
52,11, Married-civ-spouse, Craft-repair, Husband, White,0,48, Poland, >50K
48,11, Married-civ-spouse, Exec-managerial, Husband, White,0,50, United-States, >50K
30,11, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, >50K
37,9, Married-civ-spouse, Exec-managerial, Husband, White,1848,65, United-States, >50K
47,9, Married-civ-spouse, Sales, Husband, White,0,45, United-States, <=50K
33,13, Divorced, Protective-serv, Unmarried, White,0,60, Germany, <=50K
33,9, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander,0,35, Thailand, <=50K
20,10, Never-married, Other-service, Own-child, White,0,15, United-States, <=50K
41,13, Divorced, Exec-managerial, Not-in-family, White,0,40, United-States, <=50K
32,10, Married-civ-spouse, Transport-moving, Husband, White,1485,45, United-States, >50K
54,9, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander,0,50, ?, <=50K
36,13, Married-civ-spouse, Exec-managerial, Wife, White,0,40, United-States, <=50K
46,13, Never-married, Prof-specialty, Not-in-family, White,0,40, United-States, <=50K
45,13, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, >50K
18,10, Never-married, Other-service, Own-child, White,0,16, United-States, <=50K
62,10, Married-civ-spouse, Transport-moving, Husband, White,0,60, United-States, <=50K
33,9, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, <=50K
42,9, Divorced, Craft-repair, Unmarried, White,0,40, United-States, <=50K
18,10, Never-married, Prof-specialty, Own-child, White,0,40, United-States, <=50K
32,11, Divorced, Adm-clerical, Unmarried, White,0,40, United-States, <=50K
43,4, Married-civ-spouse, Transport-moving, Husband, Black,0,40, United-States, <=50K
20,9, Never-married, Other-service, Unmarried, Black,0,25, United-States, <=50K
50,13, Divorced, Sales, Not-in-family, White,0,45, United-States, <=50K
42,16, Married-civ-spouse, Exec-managerial, Husband, White,0,43, ?, >50K
36,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
22,9, Never-married, Craft-repair, Own-child, White,0,40, United-States, <=50K
30,9, Married-civ-spouse, Craft-repair, Husband, Black,0,40, United-States, <=50K
33,9, Never-married, Craft-repair, Not-in-family, White,0,40, United-States, <=50K
43,12, Married-civ-spouse, Tech-support, Husband, White,0,43, United-States, <=50K
38,10, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, <=50K
34,13, Never-married, Other-service, Not-in-family, White,0,14, United-States, <=50K
40,10, Separated, Adm-clerical, Unmarried, White,0,45, United-States, <=50K
40,9, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, <=50K
41,15, Married-civ-spouse, Prof-specialty, Husband, White,0,50, United-States, >50K
57,10, Married-civ-spouse, Sales, Husband, White,0,50, United-States, >50K
65,14, Married-civ-spouse, Prof-specialty, Husband, White,1648,4, Greece, <=50K
52,10, Married-civ-spouse, Other-service, Husband, White,0,50, United-States, <=50K
59,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander,0,40, India, >50K
18,9, Never-married, Handlers-cleaners, Own-child, White,0,25, United-States, <=50K
48,12, Married-civ-spouse, Prof-specialty, Husband, White,0,45, United-States, <=50K
45,3, Divorced, Transport-moving, Unmarried, White,0,40, United-States, <=50K
24,9, Married-civ-spouse, Protective-serv, Husband, White,0,40, United-States, <=50K
27,12, Never-married, Protective-serv, Not-in-family, White,0,40, United-States, <=50K
40,14, Married-civ-spouse, Exec-managerial, Husband, White,0,50, United-States, >50K
44,13, Married-civ-spouse, Adm-clerical, Husband, White,0,40, United-States, <=50K
24,9, Never-married, Farming-fishing, Own-child, Black,0,50, United-States, <=50K
71,15, Married-civ-spouse, Prof-specialty, Husband, White,0,16, United-States, <=50K
17,8, Never-married, Sales, Own-child, White,0,40, United-States, <=50K
57,10, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
71,13, Married-civ-spouse, ?, Husband, White,0,30, United-States, >50K
37,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander,0,40, ?, <=50K
33,9, Married-civ-spouse, Handlers-cleaners, Husband, White,0,40, United-States, <=50K
41,9, Married-civ-spouse, Other-service, Husband, White,0,40, United-States, <=50K
25,13, Never-married, Adm-clerical, Own-child, White,0,40, United-States, <=50K
42,9, Married-civ-spouse, Farming-fishing, Husband, White,0,15, United-States, <=50K
18,7, Never-married, ?, Unmarried, Black,0,50, United-States, <=50K
34,9, Never-married, Handlers-cleaners, Not-in-family, White,0,40, United-States, <=50K
57,6, Married-civ-spouse, ?, Wife, White,0,40, United-States, <=50K
27,13, Never-married, Prof-specialty, Not-in-family, White,0,45, United-States, <=50K
46,13, Divorced, ?, Not-in-family, White,0,8, United-States, <=50K
64,7, Widowed, ?, Not-in-family, White,0,35, United-States, <=50K
24,13, Never-married, Prof-specialty, Own-child, White,0,20, United-States, <=50K
23,13, Never-married, Handlers-cleaners, Own-child, White,0,30, United-States, <=50K
33,10, Married-civ-spouse, Prof-specialty, Husband, White,0,40, United-States, <=50K
58,11, Divorced, Sales, Not-in-family, White,0,56, United-States, <=50K
25,5, Married-civ-spouse, Handlers-cleaners, Husband, White,0,40, United-States, <=50K
44,14, Never-married, Prof-specialty, Not-in-family, White,0,55, United-States, <=50K
53,9, Married-civ-spouse, Prof-specialty, Husband, White,0,40, United-States, >50K
38,9, Married-civ-spouse, Adm-clerical, Wife, White,0,35, United-States, >50K
36,13, Never-married, Prof-specialty, Not-in-family, White,0,45, United-States, >50K
25,9, Never-married, Exec-managerial, Not-in-family, White,0,40, United-States, <=50K
54,13, Divorced, Exec-managerial, Unmarried, White,0,40, United-States, <=50K
31,8, Separated, Transport-moving, Unmarried, Black,0,40, United-States, <=50K
18,9, Never-married, Adm-clerical, Own-child, White,0,40, United-States, <=50K
40,9, Divorced, Other-service, Not-in-family, Black,0,40, United-States, <=50K
26,10, Married-civ-spouse, Sales, Wife, Black,0,40, United-States, <=50K
68,16, Married-civ-spouse, ?, Husband, White,0,50, United-States, >50K
33,13, Never-married, Prof-specialty, Not-in-family, White,0,50, United-States, <=50K
22,12, Never-married, Exec-managerial, Not-in-family, White,0,55, United-States, <=50K
50,10, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
24,13, Never-married, ?, Own-child, White,0,30, United-States, <=50K
44,9, Divorced, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
37,9, Never-married, Other-service, Unmarried, Black,0,40, United-States, <=50K
34,13, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
45,10, Widowed, Tech-support, Not-in-family, White,0,45, United-States, >50K
77,14, Married-civ-spouse, ?, Husband, White,0,8, United-States, >50K
25,6, Married-civ-spouse, Other-service, Own-child, White,0,35, United-States, <=50K
20,10, Separated, Sales, Unmarried, Black,0,40, United-States, <=50K
46,9, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo,0,40, United-States, <=50K
26,12, Never-married, Tech-support, Own-child, White,0,40, United-States, <=50K
45,2, Married-civ-spouse, Other-service, Wife, White,0,25, El-Salvador, <=50K
70,9, Widowed, ?, Unmarried, White,0,4, United-States, <=50K
57,9, Married-civ-spouse, Transport-moving, Husband, White,0,40, United-States, >50K
28,11, Never-married, Sales, Not-in-family, White,0,40, United-States, <=50K
35,12, Married-civ-spouse, ?, Wife, White,0,16, United-States, <=50K
36,10, Married-civ-spouse, Sales, Husband, White,0,45, United-States, >50K
32,9, Never-married, Handlers-cleaners, Not-in-family, White,0,40, United-States, <=50K
29,13, Never-married, Sales, Not-in-family, White,0,50, United-States, >50K
36,13, Divorced, Prof-specialty, Unmarried, White,0,45, United-States, <=50K
19,9, Never-married, Handlers-cleaners, Own-child, White,0,30, United-States, <=50K
27,13, Never-married, Tech-support, Unmarried, Asian-Pac-Islander,0,20, Philippines, <=50K
48,14, Married-civ-spouse, Transport-moving, Husband, White,0,55, United-States, >50K
49,13, Married-civ-spouse, Craft-repair, Husband, White,0,50, United-States, <=50K
55,14, Married-civ-spouse, Tech-support, Husband, White,1977,20, United-States, >50K
61,9, Divorced, Farming-fishing, Not-in-family, White,0,82, United-States, <=50K
42,10, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, >50K
42,12, Divorced, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
30,11, Married-civ-spouse, Protective-serv, Husband, White,0,40, United-States, <=50K
32,9, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, <=50K
37,10, Married-civ-spouse, Transport-moving, Husband, White,0,40, United-States, >50K
35,10, Married-civ-spouse, Craft-repair, Husband, White,0,45, United-States, <=50K
30,11, Married-spouse-absent, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
30,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander,0,20, India, >50K
55,10, Married-civ-spouse, Exec-managerial, Husband, White,0,70, United-States, >50K
36,10, Married-civ-spouse, Transport-moving, Husband, White,0,40, United-States, <=50K
33,9, Never-married, Other-service, Own-child, White,0,48, United-States, <=50K
56,13, Married-civ-spouse, Prof-specialty, Husband, White,0,40, United-States, >50K
26,11, Married-civ-spouse, Craft-repair, Husband, White,2002,40, United-States, <=50K
37,9, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, <=50K
28,9, Never-married, Sales, Own-child, White,0,60, United-States, <=50K
38,9, Married-civ-spouse, Transport-moving, Husband, White,0,50, United-States, <=50K
76,9, Married-civ-spouse, ?, Husband, White,0,20, United-States, <=50K
35,10, Never-married, ?, Unmarried, Black,0,40, United-States, <=50K
48,10, Widowed, Adm-clerical, Unmarried, White,0,43, United-States, <=50K
35,12, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
39,13, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, <=50K
64,9, Married-civ-spouse, Other-service, Husband, White,0,40, United-States, <=50K
22,9, Never-married, Adm-clerical, Unmarried, Black,0,40, United-States, <=50K
45,13, Married-civ-spouse, Sales, Husband, White,0,40, United-States, >50K
27,3, Married-civ-spouse, Transport-moving, Husband, White,0,40, Mexico, <=50K
43,9, Divorced, Adm-clerical, Unmarried, White,0,50, United-States, >50K
23,10, Never-married, Other-service, Own-child, White,0,37, United-States, <=50K
25,6, Never-married, Handlers-cleaners, Own-child, Black,1602,40, United-States, <=50K
39,14, Married-civ-spouse, Prof-specialty, Husband, White,0,50, United-States, >50K
63,9, Married-civ-spouse, Sales, Wife, White,0,35, United-States, <=50K
37,15, Married-civ-spouse, Prof-specialty, Husband, White,0,40, United-States, >50K
26,9, Married-civ-spouse, Adm-clerical, Husband, Other,0,40, United-States, <=50K
33,13, Never-married, Prof-specialty, Not-in-family, White,0,40, Canada, <=50K
45,13, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander,0,70, ?, <=50K
28,10, Never-married, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
20,10, Never-married, Other-service, Own-child, White,0,20, United-States, <=50K
34,9, Married-civ-spouse, Adm-clerical, Wife, White,0,20, United-States, <=50K
34,10, Married-civ-spouse, Transport-moving, Husband, White,0,40, United-States, <=50K
41,9, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, >50K
38,10, Married-civ-spouse, Sales, Husband, White,0,50, United-States, >50K
36,13, Married-civ-spouse, Exec-managerial, Husband, White,0,40, United-States, >50K
38,10, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander,0,40, Philippines, <=50K
46,13, Married-civ-spouse, Sales, Husband, White,0,72, United-States, >50K
43,13, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander,0,60, South, <=50K
49,10, Widowed, Sales, Unmarried, White,0,30, United-States, <=50K
26,13, Never-married, Prof-specialty, Own-child, White,0,35, United-States, <=50K
28,9, Divorced, Adm-clerical, Not-in-family, White,0,35, United-States, <=50K
54,9, Married-civ-spouse, Craft-repair, Husband, White,0,40, United-States, >50K
53,9, Never-married, Craft-repair, Not-in-family, Other,0,40, ?, <=50K
24,10, Never-married, Handlers-cleaners, Own-child, White,0,50, United-States, <=50K
23,10, Never-married, Exec-managerial, Own-child, White,0,30, United-States, <=50K
55,9, Divorced, Adm-clerical, Not-in-family, White,0,40, United-States, <=50K
58,5, Separated, Craft-repair, Not-in-family, White,0,40, United-States, <=50K
26,9, Never-married, Tech-support, Other-relative, Black,0,40, ?, <=50K
19,6, Never-married, Other-service, Other-relative, Black,0,20, United-States, <=50K
28,10, Never-married, ?, Unmarried, White,0,40, United-States, <=50K
45,10, Never-married, Sales, Not-in-family, White,0,52, United-States, <=50K
30,10, Married-civ-spouse, Craft-repair, Husband, White,0,45, United-States, >50K
76,9, Widowed, Other-service, Unmarried, White,0,33, United-States, <=50K
47,9, Separated, Adm-clerical, Unmarried, White,0,40, United-States, <=50K
34,10, Divorced, Transport-moving, Not-in-family, White,0,40, United-States, <=50K
40,10, Married-civ-spouse, Adm-clerical, Wife, White,0,35, United-States, >50K
24,9, Separated, Other-service, Unmarried, White,0,25, United-States, <=50K
30,13, Married-civ-spouse, Prof-specialty, Wife, White,0,50, United-States, >50K
67,10, Married-civ-spouse, Transport-moving, Husband, White,0,10, United-States, >50K
24,9, Married-civ-spouse, Machine-op-inspct, Wife, White,0,40, United-States, <=50K
43,10, Divorced, Adm-clerical, Unmarried, White,0,40, United-States, <=50K
29,8, Never-married, Craft-repair, Unmarried, White,0,40, United-States, <=50K
40,9, Married-civ-spouse, Machine-op-inspct, Husband, White,0,40, United-States, <=50K
61,10, Married-civ-spouse, Prof-specialty, Husband, White,0,40, United-States, <=50K
45,16, Married-civ-spouse, Exec-managerial, Husband, White,0,45, United-States, >50K
21,10, Never-married, Tech-support, Not-in-family, White,0,50, United-States, <=50K
